Symbol,symbol_url
FLFL,https://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01
FRETAIL,https://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR
GAIL,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI
GALAXYSURF,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
GRSE,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gardenreachshipbuildersengineers/GRS01
GARFIBRES,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/garwaretechnicalfibres/GWR
GDL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01
GAYAPROJ,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10
GEPIL,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29
GESHIP,https://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES
GET&D,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD
GICRE,https://www.moneycontrol.com/india/stockpricequote/diversified/generalinsurancecorporationindia/GIC12
GICHSGFIN,https://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC
GILLETTE,https://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22
GSKCONS,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04
GLAXO,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK
GLENMARK,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08
GMMPFAUDLR,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gmmpfaudler/GMM01
GMRINFRA,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27
GNFC,https://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV
GODFRYPHLP,https://www.moneycontrol.com/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI
GODREJAGRO,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03
GODREJCP,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
GODREJIND,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23
GODREJPROP,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11
GRANULES,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
GRAPHITE,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13
GRASIM,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
GREAVESCOT,https://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20
GRINDWELL,https://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN
GSFC,https://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF
GUJALKALI,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01
GHCL,https://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC
GMDCLTD,https://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD
GSPL,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
